image,episode,title
S27E12.png,S27E12,Forest River
S27E13.png,S27E13,Golden Glow of Morning
S28E1.png,S28E1,Fisherman's Trail
S28E2.png,S28E2,A Warm Winter
S28E3.png,S28E3,Under Pastel Skies
S28E4.png,S28E4,Golden Rays of Sunshine
S28E5.png,S28E5,The Magic of Fall
S28E6.png,S28E6,Glacier Lake
S28E7.png,S28E7,The Old Weathered Barn
S28E8.png,S28E8,Deep Forest Falls
S28E9.png,S28E9,Winter's Grace
S28E10.png,S28E10,Splendor of Autumn
S28E11.png,S28E11,Tranquil Seas
S28E12.png,S28E12,Mountain Serenity
S28E13.png,S28E13,Home Before Nightfall
S29E1.png,S29E1,Island in the Wilderness
S29E2.png,S29E2,Autumn Oval
S29E3.png,S29E3,Seasonal Progression
S29E4.png,S29E4,Light at the Summit
S29E5.png,S29E5,Countryside Barn
S29E6.png,S29E6,Mountain Lake Falls
S29E7.png,S29E7,Cypress Creek
S29E8.png,S29E8,Trapper's Cabin
S29E9.png,S29E9,Storm on the Horizon
S29E10.png,S29E10,Pot O' Posies
S29E11.png,S29E11,A Perfect Winter Day
S29E12.png,S29E12,Aurora's Dance
S29E13.png,S29E13,Woodman's Retreat
S30E1.png,S30E1,Babbling Brook
S30E2.png,S30E2,Woodgrain View
S30E3.png,S30E3,Winter's Peace
S30E4.png,S30E4,Wilderness Trail
S30E5.png,S30E5,A Copper Winter
S30E6.png,S30E6,Misty Foothills
S30E7.png,S30E7,Through the Window
S30E8.png,S30E8,Home in the Valley
S30E9.png,S30E9,Mountains of Grace
S30E10.png,S30E10,Seaside Harmony
S30E11.png,S30E11,A Cold Spring Day
S30E12.png,S30E12,Evening's Glow
S30E13.png,S30E13,Blue Ridge Falls
S31E1.png,S31E1,Reflections of Calm
S31E2.png,S31E2,Before the Snowfall
S31E3.png,S31E3,Winding Stream
S31E4.png,S31E4,Tranquility Cove
S31E5.png,S31E5,Cabin in the Hollow
S31E6.png,S31E6,View from Clear Creek
S31E7.png,S31E7,Bridge to Autumn
S31E8.png,S31E8,Trail's End
S31E9.png,S31E9,Evergreen Valley
S31E10.png,S31E10,Balmy Beach
S31E11.png,S31E11,Lake at the Ridge
S31E12.png,S31E12,In the Midst of Winter
S31E13.png,S31E13,Wilderness Day
