ASSET ID,LOCATION,LOCATION DESCRIPTION,BBQ TYPE,Location 1,LATITUDE,LONGITUDE
BBQ448,Paddys River (Rural Dist.),Sheedys Picnic Area - Shelter,Electric,"(-35.443367, 148.929236)",-35.443367,148.929236
BBQ180,Googong (Rural Dist.),Googong North,Gas,"(-35.410105, 149.261399)",-35.410105,149.261399
BBQ230,Paddys River (Rural Dist.),Blewitts Picnic Area,Wood,"(-35.444324, 148.923946)",-35.444324,148.923946
BBQ295,Tennent (Rural Dist.),Honeysuckle Campground,Wood,"(-35.582803, 148.974072)",-35.582803,148.974072
BBQ480,Mount Clear (Rural Dist.),Mt Clear Campground,Wood,"(-35.864774, 149.010724)",-35.864774,149.010724
BBQ353,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.32283, 148.942114)",-35.32283,148.942114
BBQ225,Paddys River (Rural Dist.),Blewitts Picnic Area,Wood,"(-35.444424, 148.924121)",-35.444424,148.924121
BBQ413,Paddys River (Rural Dist.),Webbs Picnic Area,Electric,"(-35.440039, 148.927892)",-35.440039,148.927892
BBQ154,Paddys River (Rural Dist.),Sheedys Picnic Area - Shelter,Electric,"(-35.443399, 148.929316)",-35.443399,148.929316
BBQ463,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.66299, 148.988798)",-35.66299,148.988798
BBQ468,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.661703, 148.988718)",-35.661703,148.988718
BBQ264,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.323472, 148.941515)",-35.323472,148.941515
BBQ281,Paddys River (Rural Dist.),Greens Picnic Area,Wood,"(-35.44321, 148.926476)",-35.44321,148.926476
BBQ449,Paddys River (Rural Dist.),Discovery Picnic Area,Electric,"(-35.442681, 148.930129)",-35.442681,148.930129
BBQ408,Paddys River (Rural Dist.),Sheedys Picnic Area - Shelter,Electric,"(-35.443385, 148.929269)",-35.443385,148.929269
BBQ206,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.322757, 148.942197)",-35.322757,148.942197
BBQ344,Cotter River (Rural Dist.),Bendora Picnic Area,Wood,"(-35.44251, 148.828318)",-35.44251,148.828318
BBQ152,Cotter River (Rural Dist.),Bendora Picnic Area,Wood,"(-35.442386, 148.82795)",-35.442386,148.82795
BBQ412,Paddys River (Rural Dist.),Webbs Picnic Area,Electric,"(-35.440621, 148.926681)",-35.440621,148.926681
BBQ279,Paddys River (Rural Dist.),Webbs Picnic Area,Wood,"(-35.440315, 148.927188)",-35.440315,148.927188
BBQ145,Mount Clear (Rural Dist.),Mount Clear Horse Yards,Wood,"(-35.868002, 149.015321)",-35.868002,149.015321
BBQ405,Paddys River (Rural Dist.),Sheedys Picnic Area,Electric,"(-35.443821, 148.929224)",-35.443821,148.929224
BBQ447,Paddys River (Rural Dist.),Sheedys Picnic Area - Shelter,Electric,"(-35.44339, 148.929281)",-35.44339,148.929281
BBQ226,Paddys River (Rural Dist.),Greens Picnic Area,Wood,"(-35.443219, 148.926005)",-35.443219,148.926005
BBQ472,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.66211, 148.988476)",-35.66211,148.988476
BBQ465,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662465, 148.988578)",-35.662465,148.988578
BBQ452,Molonglo Valley (Rural Dist.),National Arboretum Of Canberra,Electric,"(-35.287042, 149.076843)",-35.287042,149.076843
BBQ362,Tennent (Rural Dist.),Honeysuckle Campground,Wood,"(-35.582929, 148.974561)",-35.582929,148.974561
BBQ328,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.444405, 148.929418)",-35.444405,148.929418
BBQ168,Booth (Rural Dist.),Namadgi National Park Glendale Picnic Area,Wood,"(-35.681491, 148.998275)",-35.681491,148.998275
BBQ303,Googong (Rural Dist.),Googong South,Electric,"(-35.511472, 149.258184)",-35.511472,149.258184
BBQ282,Booth (Rural Dist.),Namadgi National Park Glendale Picnic Area,Wood,"(-35.680713, 148.997834)",-35.680713,148.997834
BBQ340,Booth (Rural Dist.),Namadgi National Park Glendale Picnic Area,Wood,"(-35.680989, 148.997976)",-35.680989,148.997976
BBQ307,Paddys River (Rural Dist.),Blewitts Picnic Area,Wood,"(-35.44409, 148.92352)",-35.44409,148.92352
BBQ179,Googong (Rural Dist.),Googong North - Shelter,Gas,"(-35.410752, 149.261817)",-35.410752,149.261817
BBQ276,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.44442, 148.928723)",-35.44442,148.928723
BBQ321,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.32371, 148.940972)",-35.32371,148.940972
BBQ470,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.66144, 148.988788)",-35.66144,148.988788
BBQ349,Mount Clear (Rural Dist.),Mt Clear Campground,Wood,"(-35.864784, 149.011151)",-35.864784,149.011151
BBQ166,Mount Clear (Rural Dist.),Mt Clear Campground,Wood,"(-35.864493, 149.010997)",-35.864493,149.010997
BBQ292,Googong (Rural Dist.),Googong North,Gas,"(-35.410449, 149.260947)",-35.410449,149.260947
BBQ189,Paddys River (Rural Dist.),Nnp Vic,Gas,"(-35.530783, 149.065709)",-35.530783,149.065709
BBQ409,Paddys River (Rural Dist.),Sheedys Picnic Area - Shelter,Electric,"(-35.443374, 148.929248)",-35.443374,148.929248
BBQ181,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.323233, 148.941452)",-35.323233,148.941452
BBQ236,Googong (Rural Dist.),Googong South,Electric,"(-35.511813, 149.257675)",-35.511813,149.257675
BBQ460,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662797, 148.988532)",-35.662797,148.988532
BBQ224,Cotter River (Rural Dist.),Bendora Picnic Area,Wood,"(-35.442303, 148.828301)",-35.442303,148.828301
BBQ466,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662549, 148.988388)",-35.662549,148.988388
BBQ451,Molonglo Valley (Rural Dist.),National Arboretum Of Canberra,Electric,"(-35.287024, 149.076812)",-35.287024,149.076812
BBQ366,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.323015, 148.94115)",-35.323015,148.94115
BBQ259,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.324165, 148.941035)",-35.324165,148.941035
BBQ462,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662954, 148.988552)",-35.662954,148.988552
BBQ419,Googong (Rural Dist.),Googong North,Gas,"(-35.411459, 149.25975)",-35.411459,149.25975
BBQ471,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.661556, 148.989135)",-35.661556,148.989135
BBQ231,Mount Clear (Rural Dist.),Mt Clear Campground,Wood,"(-35.864617, 149.010606)",-35.864617,149.010606
BBQ222,Cotter River (Rural Dist.),Bulls Head Shelter,Wood,"(-35.387776, 148.804514)",-35.387776,148.804514
BBQ446,Paddys River (Rural Dist.),Sheedys Picnic Area - Shelter,Electric,"(-35.443395, 148.929302)",-35.443395,148.929302
BBQ167,Booth (Rural Dist.),Namadgi National Park Glendale Picnic Area,Wood,"(-35.680995, 148.997729)",-35.680995,148.997729
BBQ469,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.661711, 148.9892)",-35.661711,148.9892
BBQ411,Paddys River (Rural Dist.),Webbs Picnic Area,Electric,"(-35.441358, 148.926226)",-35.441358,148.926226
BBQ235,Rendezvous Creek (Rural Dist.),Orroral Picnic Area,Wood,"(-35.664825, 148.988836)",-35.664825,148.988836
BBQ291,Googong (Rural Dist.),Googong North,Gas,"(-35.410643, 149.260678)",-35.410643,149.260678
BBQ202,Paddys River (Rural Dist.),Webbs Picnic Area,Wood,"(-35.440895, 148.926497)",-35.440895,148.926497
BBQ464,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662584, 148.988793)",-35.662584,148.988793
BBQ410,Paddys River (Rural Dist.),Webbs Picnic Area,Electric,"(-35.441743, 148.92605)",-35.441743,148.92605
BBQ300,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.444602, 148.928535)",-35.444602,148.928535
BBQ415,Paddys River (Rural Dist.),Flints Picnic Area,Gas,"(-35.459077, 148.919444)",-35.459077,148.919444
BBQ450,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.444528, 148.92855)",-35.444528,148.92855
BBQ234,Rendezvous Creek (Rural Dist.),Orroral Picnic Area,Wood,"(-35.665194, 148.988965)",-35.665194,148.988965
BBQ159,Paddys River (Rural Dist.),Thompsons Flat Picnic Area,Wood,"(-35.326293, 148.938376)",-35.326293,148.938376
BBQ496,Paddys River (Rural Dist.),Namadgi National Park Special Purpose,Wood,"(-35.532978, 149.070346)",-35.532978,149.070346
BBQ481,Mount Clear (Rural Dist.),Mount Clear Campground,Wood,"(-35.864781, 149.010409)",-35.864781,149.010409
BBQ233,Rendezvous Creek (Rural Dist.),Orroral Picnic Area,Wood,"(-35.664955, 148.9891)",-35.664955,148.9891
BBQ146,Mount Clear (Rural Dist.),Mt Clear Campground,Wood,"(-35.865138, 149.010922)",-35.865138,149.010922
BBQ482,Mount Clear (Rural Dist.),Mount Clear Campground,Wood,"(-35.865058, 149.010594)",-35.865058,149.010594
BBQ414,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.444374, 148.929638)",-35.444374,148.929638
BBQ153,Paddys River (Rural Dist.),Sheedys Picnic Area,Wood,"(-35.444665, 148.929726)",-35.444665,148.929726
BBQ140,Tennent (Rural Dist.),Honeysuckle Campground - Apollo,Wood,"(-35.58365, 148.975246)",-35.58365,148.975246
BBQ322,Paddys River (Rural Dist.),The Cotter Avenue,Electric,"(-35.323388, 148.9412)",-35.323388,148.9412
BBQ280,Paddys River (Rural Dist.),Greens Picnic Area,Wood,"(-35.442968, 148.926184)",-35.442968,148.926184
BBQ467,Rendezvous Creek (Rural Dist.),"Namadgi National Park, Orroral Campground",Wood,"(-35.662031, 148.988251)",-35.662031,148.988251
BBQ139,Tennent (Rural Dist.),Honeysuckle Campground,Gas,"(-35.583023, 148.974297)",-35.583023,148.974297
BBQ278,Paddys River (Rural Dist.),Webbs Picnic Area,Wood,"(-35.440203, 148.926942)",-35.440203,148.926942
BBQ147,Mount Clear (Rural Dist.),Mt Clear Campground,Wood,"(-35.865319, 149.010804)",-35.865319,149.010804
BBQ418,Googong (Rural Dist.),Googong Boat Ramp,Gas,"(-35.430255, 149.258419)",-35.430255,149.258419
BBQ406,Paddys River (Rural Dist.),Sheedys Picnic Area,Electric,"(-35.44379, 148.928827)",-35.44379,148.928827
BBQ334,Tennent (Rural Dist.),Honeysuckle Campground - Mercury,Wood,"(-35.583074, 148.97545)",-35.583074,148.97545
BBQ497,Gungahlin,Yerrabi District Park,Electric,"(-35.178801, 149.130774)",-35.178801,149.130774
BBQ135,Bonython,Burgoyne Street Neighbourhood Park,Electric,"(-35.426285, 149.071665)",-35.426285,149.071665
BBQ404,Forde,Volpato Street Neighbourhood Park,Electric,"(-35.160474, 149.148979)",-35.160474,149.148979
BBQ12,Turner,Haig Park,Electric,"(-35.269681, 149.128442)",-35.269681,149.128442
BBQ434,Kambah,Kambah District Park,Electric,"(-35.392172, 149.062029)",-35.392172,149.062029
BBQ296,Greenway,Pine Island South,Electric,"(-35.432464, 149.066173)",-35.432464,149.066173
BBQ70,Barton,Telopea Park,Electric,"(-35.315637, 149.137298)",-35.315637,149.137298
BBQ287,Greenway,Pine Island South,Electric,"(-35.432916, 149.066863)",-35.432916,149.066863
BBQ392,Amaroo,Bizant Street Neighbourhood Park,Electric,"(-35.173872, 149.135474)",-35.173872,149.135474
BBQ43,Hall,Gladstone Street Park,Electric,"(-35.171753, 149.069825)",-35.171753,149.069825
BBQ30,Belconnen,Lake Ginninderra Western Foreshores,Electric,"(-35.227465, 149.063448)",-35.227465,149.063448
BBQ66,Gordon,Point Hut District Park,Electric,"(-35.456044, 149.084727)",-35.456044,149.084727
BBQ95,Fadden,Fadden Pines District Park,Electric,"(-35.411304, 149.121057)",-35.411304,149.121057
BBQ20,Campbell,Molonglo Reach District Park,Electric,"(-35.304593, 149.167366)",-35.304593,149.167366
BBQ96,Fadden,Fadden Pines District Park,Electric,"(-35.410421, 149.120004)",-35.410421,149.120004
BBQ494,Yarralumla,Weston Park,Electric,"(-35.291834, 149.090334)",-35.291834,149.090334
BBQ16,City,Glebe Park,Electric,"(-35.282415, 149.136694)",-35.282415,149.136694
BBQ248,Greenway,Pine Island Central,Electric,"(-35.42745, 149.060722)",-35.42745,149.060722
BBQ431,Wright,Dot Butler Street Neighbourhood Park,Electric,"(-35.324398, 149.037221)",-35.324398,149.037221
BBQ435,Greenway,Tuggeranong Town Park,Electric,"(-35.4099, 149.065091)",-35.4099,149.065091
BBQ428,Yarralumla,Lennox Gardens,Electric,"(-35.298678, 149.120651)",-35.298678,149.120651
BBQ274,Greenway,Pine Island Central,Electric,"(-35.427261, 149.059826)",-35.427261,149.059826
BBQ429,Yarralumla,Lennox Gardens,Electric,"(-35.298464, 149.120279)",-35.298464,149.120279
BBQ98,Fadden,Fadden Pines District Park,Electric,"(-35.411668, 149.120282)",-35.411668,149.120282
BBQ445,Tharwa,Tharwa Bridge Reserve,Gas,"(-35.509138, 149.069822)",-35.509138,149.069822
BBQ474,Yarralumla,Yarralumla Bay District Park,Electric,"(-35.299422, 149.103594)",-35.299422,149.103594
BBQ384,Kambah,Boddington Crescent Neighbourhood Park,Electric,"(-35.383169, 149.051903)",-35.383169,149.051903
BBQ383,Kambah,Summerland Circuit Neighbourhood Park,Electric,"(-35.385594, 149.071294)",-35.385594,149.071294
BBQ393,Belconnen,John Knight Memorial Park,Electric,"(-35.233758, 149.073274)",-35.233758,149.073274
BBQ14,Ainslie,Corroboree Park,Electric,"(-35.269006, 149.142377)",-35.269006,149.142377
BBQ391,Forde,Tom Nicholas Crescent Pedestrian Parkland,Electric,"(-35.172395, 149.144966)",-35.172395,149.144966
BBQ89,Belconnen,John Knight Memorial Park,Electric,"(-35.237871, 149.07426)",-35.237871,149.07426
BBQ390,Chifley,Shann Place Neighbourhood Park,Electric,"(-35.352855, 149.076248)",-35.352855,149.076248
BBQ432,Kambah,Kambah District Park,Electric,"(-35.391864, 149.062164)",-35.391864,149.062164
BBQ398,Forde,Pahlman Street Neighbourhood Park,Electric,"(-35.168163, 149.146596)",-35.168163,149.146596
BBQ440,Belconnen,Ginninderra Peninsula District Park West,Electric,"(-35.225813, 149.069421)",-35.225813,149.069421
BBQ403,Oaks Estate,River Street Neighbourhood Park,Electric,"(-35.341674, 149.227464)",-35.341674,149.227464
BBQ53,Gungahlin,Yerrabi District Park,Electric,"(-35.179366, 149.130643)",-35.179366,149.130643
BBQ85,Yarralumla,Weston Park,Gas,"(-35.290275, 149.092152)",-35.290275,149.092152
BBQ42,Hall,Gladstone Street Park,Electric,"(-35.172104, 149.069711)",-35.172104,149.069711
BBQ155,Greenway,Pine Island Central,Electric,"(-35.427589, 149.062231)",-35.427589,149.062231
BBQ65,Greenway,Tuggeranong Town Park,Electric,"(-35.410761, 149.064734)",-35.410761,149.064734
BBQ401,Bonner,Burnum Burnum Close Neighborhood Oval,Electric,"(-35.159347, 149.142476)",-35.159347,149.142476
BBQ104,Greenway,Lake Tuggeranong District Park,Electric,"(-35.40518, 149.071507)",-35.40518,149.071507
BBQ402,Franklin,Clare Burton Circuit Pedestrian Parkland,Electric,"(-35.200146, 149.147774)",-35.200146,149.147774
BBQ71,Barton,Telopea Park,Electric,"(-35.315552, 149.1372)",-35.315552,149.1372
BBQ7,Braddon,Lowanna Street - Neighbourhood Park,Electric,"(-35.264829, 149.133249)",-35.264829,149.133249
BBQ8,Braddon,Lowanna Street - Neighbourhood Park,Electric,"(-35.264197, 149.133979)",-35.264197,149.133979
BBQ99,Nicholls,Candlebark Close Neighbourhood Park,Electric,"(-35.191971, 149.110101)",-35.191971,149.110101
BBQ102,Greenway,Lake Tuggeranong District Park,Electric,"(-35.408426, 149.069794)",-35.408426,149.069794
BBQ491,Franklin,Kilmeny Close Crip Park,Electric,"(-35.197073, 149.143561)",-35.197073,149.143561
BBQ61,Kambah,Kambah District Park Woolshed,Electric,"(-35.388597, 149.060463)",-35.388597,149.060463
BBQ396,Forde,Bruce Dittmar Street Central Neighbourhood Park,Electric,"(-35.176041, 149.144996)",-35.176041,149.144996
BBQ123,Gordon,Point Hut District Park,Electric,"(-35.455778, 149.084313)",-35.455778,149.084313
BBQ439,Belconnen,Ginninderra Peninsula District Park West,Electric,"(-35.225735, 149.069598)",-35.225735,149.069598
BBQ430,Yarralumla,Lennox Gardens,Electric,"(-35.29848, 149.121803)",-35.29848,149.121803
BBQ397,Casey,Yeend Avenue Neighbourhood Park,Electric,"(-35.166509, 149.097284)",-35.166509,149.097284
BBQ127,Fyshwick,Molonglo Reach Water Ski,Electric,"(-35.30478, 149.17469)",-35.30478,149.17469
BBQ134,Bonython,Derrington Crescent Pedestrian Parkland,Electric,"(-35.429604, 149.071265)",-35.429604,149.071265
BBQ133,Gordon,Point Hut District Park,Electric,"(-35.456559, 149.083915)",-35.456559,149.083915
BBQ438,Belconnen,Ginninderra Peninsula District Park East,Electric,"(-35.229117, 149.074029)",-35.229117,149.074029
BBQ386,Cook,Templeton Street Neighbourhood Park,Electric,"(-35.259309, 149.062025)",-35.259309,149.062025
BBQ249,Greenway,Pine Island Central,Electric,"(-35.427722, 149.06089)",-35.427722,149.06089
BBQ400,Crace,Narden Street Community Park,Electric,"(-35.201412, 149.102208)",-35.201412,149.102208
BBQ433,Kambah,Kambah District Park,Electric,"(-35.392047, 149.06213)",-35.392047,149.06213
BBQ31,Belconnen,Lake Ginninderra Western Foreshores,Electric,"(-35.227283, 149.063379)",-35.227283,149.063379
BBQ54,Gungahlin,Yerrabi District Park,Electric,"(-35.179247, 149.130882)",-35.179247,149.130882
BBQ476,Gungahlin,Yerrabi District Park,Electric,"(-35.179115, 149.130325)",-35.179115,149.130325
BBQ32,Belconnen,Lake Ginninderra Western Foreshores,Electric,"(-35.227238, 149.063187)",-35.227238,149.063187
BBQ132,Belconnen,John Knight Memorial Park,Electric,"(-35.235226, 149.074196)",-35.235226,149.074196
BBQ130,Dunlop,James Harrison Street Neighbourhood Park,Electric,"(-35.191165, 149.016913)",-35.191165,149.016913
BBQ44,Latham,Umbagong District Park,Electric,"(-35.211658, 149.031092)",-35.211658,149.031092
BBQ103,Greenway,Lake Tuggeranong District Park,Electric,"(-35.40722, 149.07057)",-35.40722,149.07057
BBQ94,Fadden,Fadden Pines District Park,Electric,"(-35.410913, 149.119395)",-35.410913,149.119395
BBQ479,Bonner,Fernando Street Pedestrian Parkland,Electric,"(-35.161252, 149.136322)",-35.161252,149.136322
BBQ60,Kambah,Kambah District Park Woolshed,Electric,"(-35.388653, 149.060559)",-35.388653,149.060559
BBQ80,Yarralumla,Weston Park,Gas,"(-35.295686, 149.095155)",-35.295686,149.095155
BBQ388,Rivett,Bangalay Crescent Neighbourhood Park,Electric,"(-35.347715, 149.038192)",-35.347715,149.038192
BBQ437,Belconnen,Ginninderra Peninsula District Park East,Electric,"(-35.229031, 149.074211)",-35.229031,149.074211
BBQ495,Acton,Black Mountain Peninsula District Park,Electric,"(-35.292266, 149.099613)",-35.292266,149.099613
